id_declaracion,id_importador,tipo_importador,departamento,ciudad,subpartida_arancelaria,descripcion_producto,pais_origen,anio_declaracion,valor_fob,fletes,seguros,valor_cif,arancel,iva,valor_total_pagar,estado_declaracion,fecha_declaracion
IMP-2026-00444,IM-633025,Persona natural,Atlántico,Barranquilla,8517.12.00,Teléfonos móviles,México,2025,6846000.0,450000.0,51000.0,7347000.0,508700.0,1492600.0,9348300.0,En revisión,2025-10-16
IMP-2026-00345,IM-992247,Persona jurídica,Cundinamarca,Mosquera,6109.10.00,Camisetas de punto de algodón,Japón,2024,203959000.0,5384000.0,3032000.0,212375000.0,31837600.0,46400400.0,290613000.0,Con corrección,2024-05-09
IMP-2026-00048,IM-320392,Persona jurídica,Atlántico,Soledad,3004.90.00,Medicamentos para uso humano,Corea del Sur,2024,87035000.0,6425000.0,1593000.0,95053000.0,11119400.0,20172800.0,126345200.0,Extemporánea,2024-05-10
IMP-2026-00068,IM-778998,Persona jurídica,Antioquia,Itagüí,3004.90.00,Medicamentos para uso humano,China,2025,1876608000.0,127136000.0,34436000.0,2038180000.0,103334200.0,406887700.0,2548401900.0,Extemporánea,2025-02-17
IMP-2026-00364,IM-715104,Persona natural,Santander,,8703.23.00,Vehículos automóviles con motor de émbolo,Estados Unidos,2024,54832000.0,2687000.0,937000.0,58456000.0,4824600.0,12023300.0,75303900.0,Con corrección,2024-01-05
IMP-2026-00133,IM-536196,Persona natural,Cundinamarca,Soacha,3004.90.00,Medicamentos para uso humano,Corea del Sur,2025,12197000.0,906000.0,125000.0,13228000.0,1019900.0,2707100.0,16955000.0,Extemporánea,2025-08-13
IMP-2026-00294,IM-306909,Persona jurídica,Santander,Floridablanca,3004.90.00,Medicamentos para uso humano,Japón,2024,62881000.0,3620000.0,438000.0,66939000.0,326600.0,12780500.0,80046100.0,Extemporánea,2024-12-20
IMP-2026-00032,IM-323508,Persona jurídica,Valle del Cauca,Cali,3004.90.00,Medicamentos para uso humano,México,2024,51704000.0,1723000.0,351000.0,53778000.0,2723400.0,10735300.0,67236700.0,Con corrección,2024-02-18
IMP-2026-00219,IM-855944,Persona jurídica,Cundinamarca,Mosquera,8703.23.00,Vehículos automóviles con motor de émbolo,España,2025,10343000.0,293000.0,181000.0,10817000.0,1597200.0,2358700.0,14772900.0,En revisión,2025-11-25
IMP-2026-00091,IM-765620,Persona jurídica,ATLÁNTICO,Soledad,8703.23.00,Vehículos automóviles con motor de émbolo,Estados Unidos,2024,56912000.0,3286000.0,1034000.0,61232000.0,6751500.0,12916900.0,80900400.0,Extemporánea,2024-10-14
